historian,period_label,year
Stefano Tumidei,Renaissance,2000
Stefano Tumidei,Renaissance,2001
Stefano Tumidei,Renaissance,2002
Stefano Tumidei,Renaissance,2003
Stefano Tumidei,Renaissance,2004
Stefano Tumidei,Renaissance,2005
Stefano Tumidei,Renaissance,2006
Stefano Tumidei,Renaissance,2007
Stefano Tumidei,Renaissance,2011
Ulrich Middeldorf,Renaissance,1925
Ulrich Middeldorf,Renaissance,1926
Ulrich Middeldorf,Renaissance,1927
Ulrich Middeldorf,Renaissance,1928
Ulrich Middeldorf,Renaissance,1929
Ulrich Middeldorf,Renaissance,1930
Ulrich Middeldorf,Renaissance,1931
Ulrich Middeldorf,Renaissance,1932
Ulrich Middeldorf,Renaissance,1933
Ulrich Middeldorf,Renaissance,1934
Ulrich Middeldorf,Renaissance,1935
Ulrich Middeldorf,Renaissance,1936
Ulrich Middeldorf,Renaissance,1937
Ulrich Middeldorf,Renaissance,1938
Ulrich Middeldorf,Renaissance,1939
Ulrich Middeldorf,Renaissance,1940
Ulrich Middeldorf,Renaissance,1941
Ulrich Middeldorf,Renaissance,1942
Ulrich Middeldorf,Renaissance,1943
Ulrich Middeldorf,Renaissance,1944
Ulrich Middeldorf,Renaissance,1945
Ulrich Middeldorf,Renaissance,1946
Ulrich Middeldorf,Renaissance,1947
Ulrich Middeldorf,Renaissance,1948
Ulrich Middeldorf,Renaissance,1949
Ulrich Middeldorf,Renaissance,1950
Ulrich Middeldorf,Renaissance,1951
Ulrich Middeldorf,Renaissance,1952
Ulrich Middeldorf,Renaissance,1953
Ulrich Middeldorf,Renaissance,1954
Ulrich Middeldorf,Renaissance,1955
Ulrich Middeldorf,Renaissance,1956
Ulrich Middeldorf,Renaissance,1957
Ulrich Middeldorf,Renaissance,1958
Ulrich Middeldorf,Renaissance,1959
Ulrich Middeldorf,Renaissance,1960
Ulrich Middeldorf,Renaissance,1961
Ulrich Middeldorf,Renaissance,1962
Ulrich Middeldorf,Renaissance,1963
Ulrich Middeldorf,Renaissance,1964
Ulrich Middeldorf,Renaissance,1965
Ulrich Middeldorf,Renaissance,1966
Ulrich Middeldorf,Renaissance,1967
Ulrich Middeldorf,Renaissance,1968
Ulrich Middeldorf,Renaissance,1969
Ulrich Middeldorf,Renaissance,1970
Ulrich Middeldorf,Renaissance,1971
Ulrich Middeldorf,Renaissance,1972
Ulrich Middeldorf,Renaissance,1973
Ulrich Middeldorf,Renaissance,1974
Ulrich Middeldorf,Renaissance,1975
Ulrich Middeldorf,Renaissance,1976
Ulrich Middeldorf,Renaissance,1977
Ulrich Middeldorf,Renaissance,1978
Ulrich Middeldorf,Renaissance,1979
Ulrich Middeldorf,Renaissance,1980
Ulrich Middeldorf,Renaissance,1981
Ulrich Middeldorf,Renaissance,1983
Ulrich Middeldorf,Renaissance,1984
Ulrich Middeldorf,Renaissance,2001
Werner Cohn,Renaissance,1929
Werner Cohn,Renaissance,1931
Werner Cohn,Renaissance,1932
Werner Cohn,Renaissance,1933
Werner Cohn,Renaissance,1934
Werner Cohn,Renaissance,1935
Werner Cohn,Renaissance,1936
Werner Cohn,Renaissance,1937
Werner Cohn,Renaissance,1938
Werner Cohn,Renaissance,1939
Werner Cohn,Renaissance,1940
Werner Cohn,Renaissance,1941
Werner Cohn,Renaissance,1942
Werner Cohn,Renaissance,1943
Werner Cohn,Renaissance,1944
Werner Cohn,Renaissance,1945
Werner Cohn,Renaissance,1946
Werner Cohn,Renaissance,1947
Werner Cohn,Renaissance,1948
Werner Cohn,Renaissance,1949
Werner Cohn,Renaissance,1950
Werner Cohn,Renaissance,1951
